Epoch 000 | train 1.5440  42.80% | test 1.1382  58.50%
Epoch 001 | train 1.1040  60.36% | test 1.0153  63.73%
Epoch 002 | train 0.9322  66.83% | test 0.8406  69.94%
Epoch 003 | train 0.8395  70.20% | test 0.7672  72.82%
Epoch 004 | train 0.7734  72.74% | test 0.7921  72.08%
Epoch 005 | train 0.7232  74.48% | test 0.6939  75.11%
Epoch 006 | train 0.6824  76.06% | test 0.6492  77.24%
Epoch 007 | train 0.6506  76.98% | test 0.6686  76.06%
Epoch 008 | train 0.6254  77.88% | test 0.6368  78.08%
Epoch 009 | train 0.5942  79.09% | test 0.6507  78.53%
Epoch 010 | train 0.5765  79.52% | test 0.6213  78.83%
Epoch 011 | train 0.5568  80.03% | test 0.5517  80.57%
Epoch 012 | train 0.5416  81.01% | test 0.5208  81.88%
Epoch 013 | train 0.5237  81.37% | test 0.5427  81.40%
Epoch 014 | train 0.5111  81.92% | test 0.5323  81.62%
Epoch 015 | train 0.4978  82.48% | test 0.5380  81.63%
Epoch 016 | train 0.4801  82.94% | test 0.5613  81.12%
Epoch 017 | train 0.4747  83.25% | test 0.5550  81.40%
Epoch 018 | train 0.4642  83.65% | test 0.5587  81.79%
Epoch 019 | train 0.4550  84.10% | test 0.5196  82.03%
Epoch 020 | train 0.4480  84.05% | test 0.5125  82.08%
Epoch 021 | train 0.4361  84.53% | test 0.4936  83.17%
Epoch 022 | train 0.4239  85.07% | test 0.5007  83.58%
Epoch 023 | train 0.4171  85.26% | test 0.5674  81.25%
Epoch 024 | train 0.4053  85.56% | test 0.5575  82.05%
Epoch 025 | train 0.4004  85.83% | test 0.5003  83.32%
Epoch 026 | train 0.3829  86.33% | test 0.4986  83.15%
Epoch 027 | train 0.3846  86.40% | test 0.4803  84.14%
Epoch 028 | train 0.3664  87.14% | test 0.5150  83.32%
Epoch 029 | train 0.3607  87.10% | test 0.4797  84.62%
Epoch 030 | train 0.3457  87.68% | test 0.4862  84.19%
Epoch 031 | train 0.3415  87.75% | test 0.4722  84.11%
Epoch 032 | train 0.3318  88.17% | test 0.4802  84.39%
Epoch 033 | train 0.3220  88.53% | test 0.4747  84.88%
Epoch 034 | train 0.3144  88.80% | test 0.5408  83.20%
Epoch 035 | train 0.3037  89.07% | test 0.4820  85.39%
Epoch 036 | train 0.2968  89.39% | test 0.5098  83.88%
Epoch 037 | train 0.2892  89.81% | test 0.4745  84.80%
Epoch 038 | train 0.2804  89.95% | test 0.5316  84.05%
Epoch 039 | train 0.2712  90.32% | test 0.4482  85.57%
Epoch 040 | train 0.2563  90.83% | test 0.5080  84.74%
Epoch 041 | train 0.2541  90.79% | test 0.4997  84.71%
Epoch 042 | train 0.2439  91.20% | test 0.4647  85.96%
Epoch 043 | train 0.2364  91.54% | test 0.4755  85.32%
Epoch 044 | train 0.2242  91.91% | test 0.4716  85.95%
Epoch 045 | train 0.2137  92.31% | test 0.4723  85.65%
Epoch 046 | train 0.2089  92.37% | test 0.4937  85.79%
Epoch 047 | train 0.1966  92.93% | test 0.5108  85.13%
Epoch 048 | train 0.1936  93.00% | test 0.5470  84.73%
Epoch 049 | train 0.1853  93.38% | test 0.5001  85.96%
Epoch 050 | train 0.1745  93.69% | test 0.4882  86.02%
Epoch 051 | train 0.1697  93.84% | test 0.5133  85.86%
Epoch 052 | train 0.1585  94.29% | test 0.4862  86.38%
Epoch 053 | train 0.1527  94.46% | test 0.4906  86.38%
Epoch 054 | train 0.1453  94.87% | test 0.4930  86.27%
Epoch 055 | train 0.1372  95.08% | test 0.4925  86.48%
Epoch 056 | train 0.1299  95.33% | test 0.4966  86.35%
Epoch 057 | train 0.1246  95.52% | test 0.5485  85.66%
Epoch 058 | train 0.1178  95.71% | test 0.5268  86.42%
Epoch 059 | train 0.1133  95.93% | test 0.5211  86.48%
Epoch 060 | train 0.1069  96.17% | test 0.5050  86.72%
Epoch 061 | train 0.0986  96.48% | test 0.5247  86.60%
Epoch 062 | train 0.0975  96.52% | test 0.5148  86.92%
Epoch 063 | train 0.0929  96.53% | test 0.5221  86.90%
Epoch 064 | train 0.0875  96.95% | test 0.5209  87.17%
Epoch 065 | train 0.0809  97.15% | test 0.5263  86.73%
Epoch 066 | train 0.0785  97.31% | test 0.5295  86.74%
Epoch 067 | train 0.0763  97.29% | test 0.5293  86.99%
Epoch 068 | train 0.0730  97.47% | test 0.5332  87.00%
Epoch 069 | train 0.0685  97.70% | test 0.5318  87.05%
Epoch 070 | train 0.0666  97.74% | test 0.5312  87.23%
Epoch 071 | train 0.0625  97.90% | test 0.5344  86.90%
Epoch 072 | train 0.0615  97.98% | test 0.5283  87.34%
Epoch 073 | train 0.0609  97.98% | test 0.5302  87.06%
Epoch 074 | train 0.0587  98.02% | test 0.5321  87.19%
Epoch 075 | train 0.0570  98.06% | test 0.5349  87.17%
Epoch 076 | train 0.0570  98.12% | test 0.5332  87.24%
Epoch 077 | train 0.0574  98.12% | test 0.5333  87.30%
Epoch 078 | train 0.0549  98.19% | test 0.5335  87.29%
Epoch 079 | train 0.0558  98.12% | test 0.5337  87.33%
