Epoch 000 | train 1.5445  42.77% | test(clean) 1.1391  59.01% | test(HF) 1.1391  58.98%
Epoch 001 | train 1.1036  60.32% | test(clean) 0.9442  66.55% | test(HF) 0.9442  66.56%
Epoch 002 | train 0.9342  66.51% | test(clean) 0.8564  68.99% | test(HF) 0.8563  68.91%
Epoch 003 | train 0.8409  70.19% | test(clean) 0.8015  71.05% | test(HF) 0.8015  71.02%
Epoch 004 | train 0.7779  72.49% | test(clean) 0.7110  74.67% | test(HF) 0.7113  74.62%
Epoch 005 | train 0.7181  74.52% | test(clean) 0.6911  75.28% | test(HF) 0.6914  75.30%
Epoch 006 | train 0.6804  76.12% | test(clean) 0.6755  76.18% | test(HF) 0.6757  76.19%
Epoch 007 | train 0.6507  77.05% | test(clean) 0.6075  78.47% | test(HF) 0.6075  78.44%
Epoch 008 | train 0.6207  78.22% | test(clean) 0.6160  78.56% | test(HF) 0.6159  78.61%
Epoch 009 | train 0.6016  78.86% | test(clean) 0.5801  79.41% | test(HF) 0.5798  79.41%
Epoch 010 | train 0.5839  79.35% | test(clean) 0.5800  80.10% | test(HF) 0.5798  80.12%
Epoch 011 | train 0.5563  80.32% | test(clean) 0.5894  79.72% | test(HF) 0.5894  79.72%
Epoch 012 | train 0.5399  81.04% | test(clean) 0.5800  79.93% | test(HF) 0.5797  79.91%
Epoch 013 | train 0.5272  81.35% | test(clean) 0.5440  81.42% | test(HF) 0.5443  81.41%
Epoch 014 | train 0.5133  81.93% | test(clean) 0.5961  79.24% | test(HF) 0.5956  79.33%
Epoch 015 | train 0.5062  82.13% | test(clean) 0.5424  81.19% | test(HF) 0.5426  81.11%
Epoch 016 | train 0.4869  82.64% | test(clean) 0.5392  81.67% | test(HF) 0.5391  81.67%
Epoch 017 | train 0.4774  83.02% | test(clean) 0.5493  81.97% | test(HF) 0.5492  82.05%
Epoch 018 | train 0.4669  83.47% | test(clean) 0.5639  81.42% | test(HF) 0.5639  81.37%
Epoch 019 | train 0.4573  83.87% | test(clean) 0.5570  81.64% | test(HF) 0.5567  81.68%
Epoch 020 | train 0.4507  84.22% | test(clean) 0.5536  82.09% | test(HF) 0.5535  82.08%
Epoch 021 | train 0.4342  84.71% | test(clean) 0.5422  82.28% | test(HF) 0.5421  82.26%
Epoch 022 | train 0.4274  84.73% | test(clean) 0.4905  83.67% | test(HF) 0.4903  83.74%
Epoch 023 | train 0.4138  85.36% | test(clean) 0.5205  82.55% | test(HF) 0.5205  82.53%
Epoch 024 | train 0.4063  85.50% | test(clean) 0.4913  83.58% | test(HF) 0.4916  83.57%
Epoch 025 | train 0.3968  85.97% | test(clean) 0.5105  83.46% | test(HF) 0.5104  83.41%
Epoch 026 | train 0.3835  86.53% | test(clean) 0.5406  82.36% | test(HF) 0.5404  82.36%
Epoch 027 | train 0.3818  86.37% | test(clean) 0.5205  82.79% | test(HF) 0.5204  82.79%
Epoch 028 | train 0.3668  86.93% | test(clean) 0.4833  84.13% | test(HF) 0.4834  84.19%
Epoch 029 | train 0.3568  87.31% | test(clean) 0.4893  84.31% | test(HF) 0.4897  84.30%
Epoch 030 | train 0.3469  87.56% | test(clean) 0.6095  81.21% | test(HF) 0.6083  81.24%
Epoch 031 | train 0.3417  87.77% | test(clean) 0.4942  84.88% | test(HF) 0.4941  84.89%
Epoch 032 | train 0.3320  88.13% | test(clean) 0.4852  84.63% | test(HF) 0.4853  84.67%
Epoch 033 | train 0.3235  88.59% | test(clean) 0.4671  84.92% | test(HF) 0.4673  84.99%
Epoch 034 | train 0.3155  88.72% | test(clean) 0.4820  84.44% | test(HF) 0.4818  84.52%
Epoch 035 | train 0.3072  89.07% | test(clean) 0.5075  84.10% | test(HF) 0.5078  84.10%
Epoch 036 | train 0.2960  89.37% | test(clean) 0.5199  84.33% | test(HF) 0.5199  84.31%
Epoch 037 | train 0.2850  89.77% | test(clean) 0.4781  85.42% | test(HF) 0.4781  85.43%
Epoch 038 | train 0.2805  89.98% | test(clean) 0.4783  84.66% | test(HF) 0.4786  84.72%
Epoch 039 | train 0.2691  90.35% | test(clean) 0.4825  85.47% | test(HF) 0.4829  85.49%
Epoch 040 | train 0.2572  90.68% | test(clean) 0.4549  86.09% | test(HF) 0.4552  86.13%
Epoch 041 | train 0.2504  91.00% | test(clean) 0.4895  85.11% | test(HF) 0.4889  85.12%
Epoch 042 | train 0.2415  91.36% | test(clean) 0.4662  85.76% | test(HF) 0.4660  85.79%
Epoch 043 | train 0.2321  91.62% | test(clean) 0.5590  84.44% | test(HF) 0.5590  84.44%
Epoch 044 | train 0.2248  91.81% | test(clean) 0.4714  86.10% | test(HF) 0.4716  86.04%
Epoch 045 | train 0.2128  92.30% | test(clean) 0.4895  85.39% | test(HF) 0.4901  85.45%
Epoch 046 | train 0.2056  92.66% | test(clean) 0.5009  85.86% | test(HF) 0.5012  85.86%
Epoch 047 | train 0.1986  92.91% | test(clean) 0.5064  85.82% | test(HF) 0.5065  85.79%
Epoch 048 | train 0.1912  93.07% | test(clean) 0.5170  85.64% | test(HF) 0.5167  85.59%
Epoch 049 | train 0.1868  93.25% | test(clean) 0.4823  86.50% | test(HF) 0.4824  86.46%
Epoch 050 | train 0.1735  93.68% | test(clean) 0.4927  86.54% | test(HF) 0.4930  86.54%
Epoch 051 | train 0.1657  94.04% | test(clean) 0.5190  85.77% | test(HF) 0.5188  85.77%
Epoch 052 | train 0.1562  94.41% | test(clean) 0.5051  85.74% | test(HF) 0.5047  85.78%
Epoch 053 | train 0.1518  94.58% | test(clean) 0.5072  85.95% | test(HF) 0.5073  85.89%
Epoch 054 | train 0.1434  94.86% | test(clean) 0.5142  86.44% | test(HF) 0.5146  86.40%
Epoch 055 | train 0.1347  95.17% | test(clean) 0.5293  86.40% | test(HF) 0.5296  86.42%
Epoch 056 | train 0.1299  95.36% | test(clean) 0.5243  86.56% | test(HF) 0.5242  86.65%
Epoch 057 | train 0.1252  95.46% | test(clean) 0.5242  86.08% | test(HF) 0.5244  86.15%
Epoch 058 | train 0.1149  95.89% | test(clean) 0.5323  86.47% | test(HF) 0.5322  86.41%
Epoch 059 | train 0.1126  96.07% | test(clean) 0.5273  86.68% | test(HF) 0.5278  86.64%
Epoch 060 | train 0.1023  96.40% | test(clean) 0.5338  86.79% | test(HF) 0.5340  86.82%
Epoch 061 | train 0.0990  96.45% | test(clean) 0.5344  86.85% | test(HF) 0.5347  86.82%
Epoch 062 | train 0.0967  96.53% | test(clean) 0.5551  86.76% | test(HF) 0.5550  86.75%
Epoch 063 | train 0.0887  96.91% | test(clean) 0.5394  87.14% | test(HF) 0.5392  87.15%
